sku,nombre,categoria,marca,modelo_impresora,compatible_con,stock_actual,stock_minimo,precio_compra,precio_venta,proveedor_id,activo
828187,Toner Original para Ricoh Pro C651/751 Magenta - 48.500 pag,OEM Original Product,RICOH,,,5,0,0.0,0.0,P120090,True
828188,Toner Original para Ricoh Pro C651/751 Cyan - 48.500 pag,OEM Original Product,RICOH,,,2,0,0.0,0.0,P120090,True
828330,Toner Original Ricoh Pro C7100 Negro - 45.000 pag,OEM Original Product,RICOH,,,23,0,0.0,0.0,P120292,True
828331,Toner Original Ricoh Pro C7100 Amarillo - 45.000 pag,OEM Original Product,RICOH,,,31,0,0.0,0.0,P120292,True
828332,Toner Original Ricoh Pro C7100 Magenta - 45.000 pag,OEM Original Product,RICOH,,,34,0,0.0,0.0,P120292,True
828333,Toner Original Ricoh Pro C7100 Cyan - 45.000 pag,OEM Original Product,RICOH,,,31,0,0.0,0.0,P120292,True
828344,Toner Original Ricoh Pro C7100 Blanco - 17.500 pag,OEM Original Product,RICOH,,,6,0,0.0,0.0,P120292,True
828402,Toner Original para Ricoh Pro C5100/5110 Negro - 30.000 pag,OEM Original Product,RICOH,,,23,8,0.0,0.0,P120292,True
828403,Toner Original para Ricoh Pro C5100/5110 Amarillo - 30.000 pag,OEM Original Product,RICOH,,,23,8,0.0,0.0,P120292,True
828404,Toner Original para Ricoh Pro C5100/5110 Magenta - 30.000 pag,OEM Original Product,RICOH,,,23,8,0.0,0.0,P120292,True
828405,Toner Original para Ricoh Pro C5100/5110 Cyan - 30.000 pag,OEM Original Product,RICOH,,,20,8,0.0,0.0,P120292,True
828426,Toner Original Ricoh Pro C5200/5210 Negro - 33.000 pag,OEM Original Product,RICOH,,,19,0,0.0,0.0,P120160,True
828427,Toner Original Ricoh Pro C5200/5210 Amarillo - 24.000 pag,OEM Original Product,RICOH,,,15,0,0.0,0.0,P120160,True
828428,Toner Original Ricoh Pro C5200/5210 Magenta - 24.000 pag,OEM Original Product,RICOH,,,13,0,0.0,0.0,P120160,True
828429,Toner Original Ricoh Pro C5200/5210 Cyan - 24.000 pag,OEM Original Product,RICOH,,,15,0,0.0,0.0,P120160,True
828551,Toner Original Ricoh Pro 8100/8110/8120 Negro - 82.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120292,True
828552,Toner Original Ricoh Pro 8200S/8210S/8220S Negro - 82.000 pag,Bajo pedido,RICOH,,,2,0,0.0,0.0,P120160,True
828603,Toner Original Ricoh Pro C5300 Magenta - 26.000 pag,OEM Original Product,RICOH,,,1,0,0.0,0.0,PROV000,True
828712,Toner Original Ricoh Pro 8400 Negro - 82.000 pag,OEM Original Product,RICOH,,,2,0,0.0,0.0,PROV000,True
828716,Toner Original Ricoh Pro 8100/8110/8120 Negro - 82.000 pag,OEM Original Product,RICOH,,,3,0,0.0,0.0,P120292,True
828718,Toner Original Ricoh Pro 8300/8310/8320 Negro - 328.000 pag,Bajo pedido,RICOH,,,0,0,0.0,0.0,PROV000,True
841198,Toner Original para Ricoh Aficio MP C2030/2050/2530/2550 Magenta - 5.500 pag,Bajo pedido,RICOH,,,2,1,0.0,0.0,P120090,True
841332,Toner Original para Ricoh Aficio MP 5500/6000/6001/6002/6500/6503/9001/9002/9003 IM 7000/8000/9000 Negro - 43.000 pag,OEM Original Product,RICOH,,,168,0,0.0,0.0,P120090,True
841347,Toner Original para Ricoh Aficio MP 3500/4000/4001/4002/4500/5000/5001/5002 Negro - 30.000 pag,OEM Original Product,RICOH,,,1,8,0.0,0.0,P120292,True
841506,Toner Original para Ricoh Aficio MP C2051/2551 Magenta - 9.500 pag,Descatalogado OEM,RICOH,,,3,0,0.0,0.0,P120090,True
841507,Toner Original para Ricoh Aficio MP C2051/2551 Amarillo - 9.500 pag,Bajo pedido,RICOH,,,6,3,0.0,0.0,P120090,True
841550,Toner Original para Ricoh Aficio MP C300/400/401 Negro - 10.000 pag,Bajo pedido,RICOH,,,2,14,0.0,0.0,P120292,True
841551,Toner Original para Ricoh Aficio MP C300/400/401 Cyan - 10.000 pag,Bajo pedido,RICOH,,,1,0,0.0,0.0,PROV000,True
841685,Toner Original para Ricoh Aficio MP C4502/5502 Magenta - 22.500 pag,Bajo pedido,RICOH,,,1,1,0.0,0.0,P120160,True
841817,Toner Original para Ricoh Aficio MP C3003/3004/3503/3504 Negro - 29.500 pag,OEM Original Product,RICOH,,,27,44,0.0,0.0,P120090,True
841818,Toner Original para Ricoh Aficio MP C3003/3004/3503/3504 Amarillo - 18.000 pag,OEM Original Product,RICOH,,,9,16,0.0,0.0,P120160,True
841819,Toner Original para Ricoh Aficio MP C3003/3004/3503/3504 Magenta - 18.000 pag,OEM Original Product,RICOH,,,4,16,0.0,0.0,P120160,True
841820,Toner Original para Ricoh Aficio MP C3003/3004/3503/3504 Cyan - 18.000 pag,OEM Original Product,RICOH,,,5,18,0.0,0.0,P120160,True
841853,Toner Original para Ricoh Aficio MP C4503/4504/5503/5504/6003/6004 Negro - 30.000 pag,OEM Original Product,RICOH,,,31,34,0.0,0.0,P120160,True
841854,Toner Original para Ricoh Aficio MP C4503/4504/5503/5504/6003/6004 Amarillo - 22.500 pag,OEM Original Product,RICOH,,,8,6,0.0,0.0,P120160,True
841854-B,Toner Original para Ricoh Aficio MP C4503/4504/5503/5504/6003/6004 Amarillo - 22.500 pag GRADO B,OEM GRADO B,RICOH,,,1,6,0.0,0.0,P120160,True
841855,Toner Original para Ricoh Aficio MP C4503/4504/5503/5504/6003/6004 Magenta - 22.500 pag,OEM Original Product,RICOH,,,7,10,0.0,0.0,P120160,True
841856,Toner Original para Ricoh Aficio MP C4503/4504/5503/5504/6003/6004 Cyan - 22.500 pag,OEM Original Product,RICOH,,,6,10,0.0,0.0,P120160,True
841887,Toner Original para Ricoh Aficio MP 401/402/ SP 4520 Negro - 10.400 pag,Bajo pedido,RICOH,,,2,1,0.0,0.0,P120160,True
841925,Toner Original para Ricoh Aficio MP C2003/2004/2011/2503/2504 Negro - 15.000 pag,OEM Original Product,RICOH,,,29,48,0.0,0.0,P120160,True
841926,Toner Original para Ricoh Aficio MP C2003/2004/2011/2503/2504 Amarillo - 9.500 pag,OEM Original Product,RICOH,,,14,30,0.0,0.0,P120160,True
841927,Toner Original para Ricoh Aficio MP C2003/2004/2011/2503/2504 Magenta - 9.500 pag,OEM Original Product,RICOH,,,8,26,0.0,0.0,P120160,True
841928,Toner Original para Ricoh Aficio MP C2003/2004/2011/2503/2504 Cyan - 9.500 pag,OEM Original Product,RICOH,,,8,26,0.0,0.0,P120160,True
842022,Toner Original para Ricoh Aficio MP C4502/5502 Magenta - 22.500 pag,Bajo pedido,RICOH,,,1,1,0.0,0.0,P120160,True
842024,Toner Original para Ricoh Aficio 1515/MP 161/171/201 Negro - 7.000 pag,Bajo pedido,RICOH,,,0,0,0.0,0.0,P120090,True
842039,Toner Original para Ricoh Aficio MP C300/400/401 Cyan - 10.000 pag,Bajo pedido,RICOH,,,0,0,0.0,0.0,PROV000,True
842041,Toner Original para Ricoh Aficio MP C300/400/401 Amarillo - 10.000 pag,OEM Original Product,RICOH,,,4,0,0.0,0.0,P120292,True
842063,Toner Original para Ricoh Aficio MP C2051/2551 Magenta - 9.500 pag,OEM Original Product,RICOH,,,4,0,0.0,0.0,P120090,True
842064,Toner Original para Ricoh Aficio MP C2051/2551 Cyan - 9.500 pag,Bajo pedido,RICOH,,,7,1,0.0,0.0,P120090,True
842073-B,Toner Original para Ricoh Aficio MP C6501/7501 Negro - 43.200 pag GRADO B,OEM GRADO B,RICOH,,,1,0,0.0,0.0,P120283,True
842077,Toner Original para Ricoh Aficio MP 3500/4000/4001/4002/4500/5000/5001/5002 Negro - 30.000 pag,Bajo pedido,RICOH,,,1,8,0.0,0.0,P120292,True
